OrderID,OrderDate,RequiredDate,ShipDate,ProductID,CustomerID,Channel,SupplierID,WarehouseID,OrderQty,UnitPrice,DiscountPct,Revenue,UnitCost,COGS,GrossProfit,OTIF_Flag,LateDays,StockoutFlag,ReturnQty,WasteQty,QualityIssueFlag,PromoFlag
O00001,2025-12-14,2025-12-20,2025-12-20,P019,C071,HoReCa,S003,W001,212,2.27,0.04,461.99,1.53,324.36,137.63,1,0,0,0,0,0,0
O00002,2025-08-16,2025-08-18,2025-08-18,P039,C060,E-commerce,S006,W002,137,1.67,0.04,219.64,0.89,121.93,97.71,1,0,0,0,0,0,0
O00003,2024-08-28,2024-09-03,2024-09-03,P020,C029,Retail,S003,W001,218,1.85,0.04,387.17,1.08,235.44,151.73,1,0,0,0,0,0,0
O00004,2025-02-13,2025-02-19,2025-02-19,P016,C019,Distributor,S003,W003,198,3.15,0.02,611.23,2.05,405.9,205.33,1,0,0,0,0,0,0
O00005,2025-07-24,2025-07-30,2025-07-30,P016,C016,Distributor,S003,W005,12,3.15,0.03,36.67,2.05,24.6,12.07,1,0,0,0,0,0,0
O00006,2024-06-11,2024-06-22,2024-06-22,P031,C058,Distributor,S005,W005,5,3.43,0.04,16.46,2.08,10.4,6.06,1,0,0,0,0,0,0
O00007,2024-12-09,2024-12-15,2024-12-15,P021,C070,Retail,S003,W005,116,3.11,0.05,342.72,1.97,228.52,114.2,1,0,0,0,0,0,0
O00008,2025-08-21,2025-08-31,2025-08-31,P002,C074,Retail,S007,W005,278,1.5,0.05,396.15,0.81,225.18,170.97,1,0,0,0,0,0,0
O00009,2024-10-06,2024-10-18,2024-10-18,P028,C063,Retail,S008,W001,116,2.44,0.05,268.89,1.5,174,94.89,1,0,0,0,0,0,0
O00010,2025-11-09,2025-11-19,2025-11-19,P002,C011,Retail,S007,W003,22,1.5,0.04,31.68,0.81,17.82,13.86,1,0,0,0,0,0,0
O00011,2024-10-11,2024-10-23,2024-10-27,P027,C033,Retail,S008,W005,1,2.7,0.06,2.54,1.63,1.63,0.91,0,4,1,0,0,0,0
O00012,2024-09-01,2024-09-13,2024-09-13,P009,C061,Distributor,S008,W004,84,2.27,0.03,184.96,1.45,121.8,63.16,1,0,0,0,0,0,0
O00013,2024-06-16,2024-06-21,2024-06-21,P020,C014,HoReCa,S001,W005,227,1.85,0.02,411.55,1.08,245.16,166.39,1,0,0,0,0,0,0
O00014,2025-12-01,2025-12-03,2025-12-03,P039,C073,HoReCa,S006,W004,26,1.67,0.02,42.55,0.89,23.14,19.41,1,0,0,0,0,0,0
O00015,2025-01-05,2025-01-07,2025-01-07,P041,C059,HoReCa,S006,W003,155,1.71,0.04,254.45,1.1,170.5,83.95,1,0,0,0,0,0,0
O00016,2024-09-08,2024-09-13,2024-09-13,P006,C036,E-commerce,S001,W002,4,1.65,0.04,6.34,1.14,4.56,1.78,1,0,0,0,0,0,0
O00017,2024-09-21,2024-10-03,2024-10-03,P022,C036,HoReCa,S008,W003,105,2.52,0.03,256.66,1.51,158.55,98.11,1,0,0,0,0,0,0
O00018,2024-01-18,2024-01-28,2024-01-28,P006,C038,E-commerce,S007,W001,135,1.65,0.04,213.84,1.14,153.9,59.94,1,0,0,0,0,0,0
O00019,2024-12-26,2025-01-07,2025-01-07,P030,C035,Retail,S008,W002,79,2.82,0.06,209.41,1.89,149.31,60.1,1,0,0,0,0,0,0
O00020,2024-10-16,2024-10-21,2024-10-21,P007,C025,Retail,S001,W002,94,2.1,0.06,185.56,1.23,115.62,69.94,1,0,0,0,0,0,0
O00021,2024-05-09,2024-05-11,2024-05-11,P041,C063,HoReCa,S006,W001,83,1.71,0.02,139.09,1.1,91.3,47.79,1,0,0,0,9,0,0
O00022,2025-12-03,2025-12-15,2025-12-17,P004,C020,Distributor,S008,W001,186,1.6,0.1,267.84,1.02,189.72,78.12,0,2,0,0,0,0,1
O00023,2025-04-06,2025-04-18,2025-04-18,P029,C039,Retail,S008,W003,108,2.79,0.04,289.27,1.46,157.68,131.59,1,0,0,2,0,0,0
O00024,2025-02-22,2025-03-06,2025-03-06,P029,C077,Retail,S008,W002,41,2.79,0.05,108.67,1.46,59.86,48.81,1,0,0,0,0,0,0
O00025,2025-10-02,2025-10-04,2025-10-06,P038,C026,HoReCa,S006,W005,70,1.43,0.02,98.1,0.91,63.7,34.4,0,2,0,0,0,0,0
O00026,2025-04-24,2025-04-29,2025-04-29,P020,C052,HoReCa,S001,W002,47,1.85,0.03,84.34,1.08,50.76,33.58,1,0,0,0,0,0,0
O00027,2025-08-24,2025-08-29,2025-08-29,P002,C035,E-commerce,S001,W003,136,1.5,0.04,195.84,0.81,110.16,85.68,1,0,0,0,0,0,0
O00028,2024-11-24,2024-12-04,2024-12-04,P007,C021,E-commerce,S007,W002,91,2.1,0.03,185.37,1.23,111.93,73.44,1,0,0,0,0,0,0
O00029,2025-02-17,2025-02-26,2025-02-26,P033,C001,Retail,S002,W004,41,4.43,0.05,172.55,2.4,98.4,74.15,1,0,0,0,0,0,0
O00030,2025-12-16,2025-12-27,2026-01-02,P032,C078,Retail,S005,W004,42,4.97,0.13,181.6,3.3,138.6,43,0,6,0,0,0,0,1
O00031,2025-05-25,2025-05-30,2025-05-30,P019,C066,Distributor,S001,W005,177,2.27,0.03,389.74,1.53,270.81,118.93,1,0,0,0,0,0,0
O00032,2025-02-28,2025-03-07,2025-03-07,P022,C065,Retail,S004,W005,134,2.52,0.06,317.42,1.51,202.34,115.08,1,0,0,0,0,0,0
O00033,2024-12-06,2024-12-15,2024-12-16,P036,C049,Distributor,S002,W002,239,4.66,0.03,1080.33,2.88,688.32,392.01,0,1,0,0,0,0,0
O00034,2025-10-29,2025-11-03,2025-11-03,P010,C064,HoReCa,S001,W001,62,1.85,0.02,112.41,1.01,62.62,49.79,1,0,0,0,0,0,0
O00035,2025-02-23,2025-02-25,2025-02-25,P042,C010,Retail,S006,W004,52,1.93,0.06,94.34,1.27,66.04,28.3,1,0,0,0,0,0,0
O00036,2025-07-08,2025-07-20,2025-07-20,P003,C031,Distributor,S008,W003,148,1.44,0.03,206.73,0.87,128.76,77.97,1,0,0,0,0,0,0
O00037,2024-11-02,2024-11-07,2024-11-07,P002,C006,Retail,S001,W004,118,1.5,0.06,166.38,0.81,95.58,70.8,1,0,0,0,0,0,0
O00038,2025-11-30,2025-12-06,2025-12-06,P016,C064,Retail,S003,W003,74,3.15,0.05,221.44,2.05,151.7,69.74,1,0,1,0,0,0,0
O00039,2024-06-10,2024-06-22,2024-06-22,P005,C045,Distributor,S008,W005,206,2.05,0.11,375.85,1.29,265.74,110.11,1,0,0,0,0,0,1
O00040,2025-12-17,2025-12-22,2025-12-22,P019,C003,Retail,S001,W003,20,2.27,0.06,42.68,1.53,30.6,12.08,1,0,0,0,0,0,0
O00041,2024-10-20,2024-10-26,2024-10-26,P015,C078,HoReCa,S003,W004,19,2.03,0.04,37.03,1.2,22.8,14.23,1,0,0,0,0,1,0
O00042,2025-03-27,2025-04-08,2025-04-08,P003,C075,Retail,S008,W002,85,1.44,0.05,116.28,0.87,73.95,42.33,1,0,0,0,0,0,0
O00043,2025-06-27,2025-07-06,2025-07-06,P033,C035,Distributor,S002,W001,124,4.43,0.03,532.84,2.4,297.6,235.24,1,0,0,0,0,0,0
O00044,2025-11-23,2025-11-30,2025-11-30,P026,C072,E-commerce,S004,W002,119,2.65,0.12,277.51,1.83,217.77,59.74,1,0,0,0,0,0,1
O00045,2025-10-15,2025-10-27,2025-10-27,P024,C014,Retail,S008,W005,189,2.64,0.04,479,1.6,302.4,176.6,1,0,0,0,0,0,0
O00046,2024-04-29,2024-05-09,2024-05-09,P009,C006,Distributor,S007,W004,94,2.27,0.02,209.11,1.45,136.3,72.81,1,0,0,0,0,0,0
O00047,2025-07-07,2025-07-14,2025-07-14,P027,C076,Distributor,S004,W003,38,2.7,0.03,99.52,1.63,61.94,37.58,1,0,0,0,0,0,0
O00048,2025-12-03,2025-12-10,2025-12-10,P024,C070,Retail,S004,W005,74,2.64,0.12,171.92,1.6,118.4,53.52,1,0,0,0,0,0,1
O00049,2024-01-22,2024-01-27,2024-01-27,P004,C043,E-commerce,S001,W001,206,1.6,0.04,316.42,1.02,210.12,106.3,1,0,0,0,0,0,0
O00050,2024-01-03,2024-01-08,2024-01-08,P018,C019,E-commerce,S001,W001,233,3.22,0.02,735.25,2.09,486.97,248.28,1,0,0,0,0,1,0
O00051,2024-09-28,2024-10-08,2024-10-08,P004,C017,HoReCa,S007,W003,137,1.6,0.04,210.43,1.02,139.74,70.69,1,0,0,0,0,0,0
O00052,2025-11-05,2025-11-16,2025-11-16,P034,C039,Retail,S005,W002,99,4.76,0.05,447.68,3.05,301.95,145.73,1,0,0,0,0,0,0
O00053,2024-11-25,2024-11-27,2024-11-28,P039,C017,Retail,S006,W002,103,1.67,0.05,163.41,0.89,91.67,71.74,0,1,0,0,0,0,0
O00054,2024-08-08,2024-08-20,2024-08-20,P028,C058,Retail,S008,W005,141,2.44,0.04,330.28,1.5,211.5,118.78,1,0,0,0,0,0,0
O00055,2025-04-30,2025-05-05,2025-05-05,P005,C012,HoReCa,S001,W001,137,2.05,0.02,275.23,1.29,176.73,98.5,1,0,0,0,0,0,0
O00056,2025-11-12,2025-11-24,2025-11-24,P028,C007,Retail,S008,W005,115,2.44,0.04,269.38,1.5,172.5,96.88,1,0,0,0,0,0,0
O00057,2024-10-12,2024-10-14,2024-10-14,P037,C055,HoReCa,S006,W003,44,2.04,0.11,79.89,1.4,61.6,18.29,1,0,0,0,7,0,1
O00058,2025-02-14,2025-02-26,2025-02-26,P005,C019,Distributor,S008,W003,72,2.05,0.04,141.7,1.29,92.88,48.82,1,0,0,0,0,0,0
O00059,2025-08-04,2025-08-06,2025-08-06,P039,C007,E-commerce,S006,W005,159,1.67,0.03,257.56,0.89,141.51,116.05,1,0,0,0,0,0,0
O00060,2025-03-16,2025-03-28,2025-03-28,P008,C037,HoReCa,S008,W003,145,2.17,0.03,305.21,1.17,169.65,135.56,1,0,0,3,0,0,0
O00061,2024-09-18,2024-09-24,2024-09-24,P019,C042,HoReCa,S003,W005,114,2.27,0.02,253.6,1.53,174.42,79.18,1,0,0,0,0,0,0
O00062,2024-02-13,2024-02-20,2024-02-20,P028,C003,Distributor,S004,W002,36,2.44,0.04,84.33,1.5,54,30.33,1,0,0,0,0,0,0
O00063,2024-06-24,2024-06-26,2024-06-26,P040,C047,Distributor,S006,W001,66,1.32,0.03,84.51,0.86,56.76,27.75,1,0,0,0,0,0,0
O00064,2025-10-10,2025-10-20,2025-10-20,P008,C068,Retail,S007,W004,208,2.17,0.06,424.28,1.17,243.36,180.92,1,0,0,0,0,0,0
O00065,2025-11-02,2025-11-12,2025-11-12,P005,C023,HoReCa,S007,W003,35,2.05,0.04,68.88,1.29,45.15,23.73,1,0,0,0,0,0,0
O00066,2025-03-26,2025-04-07,2025-04-07,P005,C061,Retail,S008,W004,112,2.05,0.04,220.42,1.29,144.48,75.94,1,0,0,0,0,0,0
O00067,2024-10-20,2024-11-01,2024-11-01,P005,C012,HoReCa,S008,W003,74,2.05,0.02,148.67,1.29,95.46,53.21,1,0,0,0,0,0,0
O00068,2024-06-03,2024-06-08,2024-06-08,P004,C044,HoReCa,S001,W003,270,1.6,0.1,388.8,1.02,275.4,113.4,1,0,0,0,0,0,1
O00069,2024-10-16,2024-10-23,2024-10-23,P025,C053,E-commerce,S004,W002,59,1.94,0.04,109.88,1.4,82.6,27.28,1,0,0,0,0,0,0
O00070,2024-06-02,2024-06-09,2024-06-09,P022,C011,Distributor,S004,W003,29,2.52,0.12,64.31,1.51,43.79,20.52,1,0,0,0,0,0,1
O00071,2025-01-20,2025-01-22,2025-01-22,P042,C017,HoReCa,S006,W003,95,1.93,0.02,179.68,1.27,120.65,59.03,1,0,0,0,0,0,0
O00072,2024-06-07,2024-06-19,2024-06-19,P005,C013,Distributor,S008,W003,283,2.05,0.11,516.33,1.29,365.07,151.26,1,0,0,0,0,0,1
