SnapshotMonth,ProductID,WarehouseID,OpeningStock,ReceivedQty,ShippedQty,ClosingStock,ReorderPoint,StockoutFlag,ExpiredQty
2024-01-01,P001,W001,1013,287,517,783,715,0,0
2024-01-01,P001,W002,1152,789,998,943,1124,0,0
2024-01-01,P001,W003,1769,460,1129,1100,1061,0,0
2024-01-01,P001,W004,645,313,774,184,734,1,0
2024-01-01,P001,W005,1612,396,907,1101,853,0,0
2024-01-01,P002,W001,1230,1217,1150,1297,1055,0,0
2024-01-01,P002,W002,1362,868,1013,1217,752,0,0
2024-01-01,P002,W003,1217,659,1537,339,679,1,0
2024-01-01,P002,W004,1437,436,1325,548,882,0,0
2024-01-01,P002,W005,976,333,774,535,1004,1,0
2024-01-01,P003,W001,649,511,811,349,740,1,0
2024-01-01,P003,W002,714,775,661,828,840,0,0
2024-01-01,P003,W003,1413,1204,992,1625,1017,0,0
2024-01-01,P003,W004,1766,1122,1552,1336,1034,0,0
2024-01-01,P003,W005,1296,1236,1117,1415,1090,0,0
2024-01-01,P004,W001,875,1069,798,1146,896,0,0
2024-01-01,P004,W002,1029,576,1145,460,914,1,0
2024-01-01,P004,W003,997,390,998,389,1021,1,0
2024-01-01,P004,W004,1019,942,858,1103,1059,0,0
2024-01-01,P004,W005,960,286,910,336,1012,1,0
2024-01-01,P005,W001,1684,943,1801,826,997,0,0
2024-01-01,P005,W002,943,561,627,877,698,0,0
2024-01-01,P005,W003,1399,216,1129,486,768,0,0
2024-01-01,P005,W004,637,320,677,280,680,1,0
2024-01-01,P005,W005,1432,746,1592,586,982,0,0
2024-01-01,P006,W001,797,483,908,372,769,1,0
2024-01-01,P006,W002,806,507,797,516,712,0,0
2024-01-01,P006,W003,1114,498,640,972,1089,0,0
2024-01-01,P006,W004,1413,768,1534,647,910,0,0
2024-01-01,P006,W005,823,1133,1209,747,984,0,0
2024-01-01,P007,W001,610,999,1037,572,848,0,0
2024-01-01,P007,W002,1384,475,914,945,808,0,0
2024-01-01,P007,W003,915,628,1022,521,1049,1,0
2024-01-01,P007,W004,886,769,701,954,917,0,0
2024-01-01,P007,W005,875,746,1046,575,805,0,0
2024-01-01,P008,W001,1295,1044,1481,858,877,0,0
2024-01-01,P008,W002,1033,404,993,444,910,1,0
2024-01-01,P008,W003,1387,332,1250,469,734,0,0
2024-01-01,P008,W004,985,576,991,570,692,0,0
2024-01-01,P008,W005,1642,805,1106,1341,1086,0,0
2024-01-01,P009,W001,1179,209,593,795,770,0,0
2024-01-01,P009,W002,1082,756,1225,613,942,0,0
2024-01-01,P009,W003,1836,1097,1965,968,1108,0,0
2024-01-01,P009,W004,855,261,619,497,1002,1,0
2024-01-01,P009,W005,1693,799,1619,873,1069,0,0
2024-01-01,P010,W001,1207,698,1553,352,1020,1,0
2024-01-01,P010,W002,1134,966,1553,547,897,0,0
2024-01-01,P010,W003,1249,452,1042,659,934,0,0
2024-01-01,P010,W004,1202,916,742,1376,836,0,0
2024-01-01,P010,W005,841,355,682,514,912,0,0
2024-01-01,P011,W001,618,439,747,310,751,1,0
2024-01-01,P011,W002,1184,415,990,609,783,0,0
2024-01-01,P011,W003,1088,920,1283,725,1118,0,0
2024-01-01,P011,W004,1137,479,993,623,1087,0,0
2024-01-01,P011,W005,1304,527,1015,816,819,0,0
2024-01-01,P012,W001,1110,312,536,886,973,0,0
2024-01-01,P012,W002,660,350,758,252,895,1,0
2024-01-01,P012,W003,597,693,735,555,682,0,0
2024-01-01,P012,W004,1153,352,1052,453,766,0,0
2024-01-01,P012,W005,1187,655,1043,799,750,0,0
2024-01-01,P013,W001,844,205,726,323,499,0,0
2024-01-01,P013,W002,460,204,538,126,451,1,0
2024-01-01,P013,W003,703,340,381,662,425,0,46
2024-01-01,P013,W004,678,408,761,325,434,0,33
2024-01-01,P013,W005,398,419,457,360,372,0,0
2024-01-01,P014,W001,779,234,577,436,536,0,0
2024-01-01,P014,W002,765,141,739,167,419,1,0
2024-01-01,P014,W003,739,139,388,490,514,0,27
2024-01-01,P014,W004,882,474,707,649,543,0,0
2024-01-01,P014,W005,376,347,529,194,361,1,0
2024-01-01,P015,W001,798,449,585,662,431,0,0
2024-01-01,P015,W002,713,181,497,397,385,0,0
2024-01-01,P015,W003,568,384,651,301,350,0,34
2024-01-01,P015,W004,377,228,472,133,344,1,4
2024-01-01,P015,W005,813,437,697,553,459,0,0
2024-01-01,P016,W001,734,258,554,438,545,0,0
2024-01-01,P016,W002,297,407,414,290,396,0,0
2024-01-01,P016,W003,528,431,361,598,450,0,0
2024-01-01,P016,W004,625,367,661,331,452,0,0
2024-01-01,P016,W005,952,210,914,248,517,1,0
2024-01-01,P017,W001,603,401,632,372,534,0,8
2024-01-01,P017,W002,795,323,823,295,522,0,0
2024-01-01,P017,W003,465,102,286,281,351,0,0
2024-01-01,P017,W004,552,119,329,342,477,0,0
2024-01-01,P017,W005,455,257,402,310,385,0,0
2024-01-01,P018,W001,696,508,662,542,468,0,12
2024-01-01,P018,W002,777,196,603,370,413,0,0
2024-01-01,P018,W003,926,382,709,599,494,0,0
2024-01-01,P018,W004,427,427,555,299,545,1,30
2024-01-01,P018,W005,483,168,294,357,365,0,24
2024-01-01,P019,W001,743,125,636,232,498,1,0
2024-01-01,P019,W002,285,436,309,412,408,0,0
2024-01-01,P019,W003,492,392,353,531,529,0,0
2024-01-01,P019,W004,316,182,257,241,344,0,0
2024-01-01,P019,W005,449,335,294,490,554,0,0
2024-01-01,P020,W001,391,256,399,248,484,1,0
2024-01-01,P020,W002,448,378,434,392,380,0,0
2024-01-01,P020,W003,574,366,655,285,413,0,0
2024-01-01,P020,W004,729,395,436,688,524,0,0
2024-01-01,P020,W005,384,125,180,329,486,0,0
2024-01-01,P021,W001,779,244,436,587,550,0,0
2024-01-01,P021,W002,757,514,911,360,553,0,0
2024-01-01,P021,W003,539,467,400,606,419,0,0
2024-01-01,P021,W004,524,166,287,403,372,0,0
2024-01-01,P021,W005,449,465,337,577,400,0,0
2024-01-01,P022,W001,1023,177,449,751,613,0,0
2024-01-01,P022,W002,618,698,505,811,647,0,0
2024-01-01,P022,W003,817,470,661,626,631,0,0
2024-01-01,P022,W004,532,328,458,402,430,0,0
2024-01-01,P022,W005,637,459,889,207,417,1,0
2024-01-01,P023,W001,1029,596,1119,506,625,0,0
2024-01-01,P023,W002,1004,666,1049,621,558,0,0
2024-01-01,P023,W003,1108,398,874,632,605,0,0
2024-01-01,P023,W004,344,321,247,418,414,0,0
2024-01-01,P023,W005,752,615,907,460,557,0,0
2024-01-01,P024,W001,636,365,458,543,424,0,0
2024-01-01,P024,W002,969,639,710,898,566,0,0
2024-01-01,P024,W003,493,472,568,397,437,0,0
2024-01-01,P024,W004,810,196,555,451,518,0,0
2024-01-01,P024,W005,359,223,384,198,429,1,0
2024-01-01,P025,W001,745,493,841,397,546,0,0
2024-01-01,P025,W002,1089,683,1354,418,649,0,0
2024-01-01,P025,W003,836,453,696,593,573,0,0
2024-01-01,P025,W004,989,314,666,637,532,0,0
2024-01-01,P025,W005,358,122,216,264,413,0,0
2024-01-01,P026,W001,659,316,466,509,499,0,0
2024-01-01,P026,W002,635,324,341,618,416,0,0
2024-01-01,P026,W003,754,290,386,658,456,0,0
2024-01-01,P026,W004,418,440,666,192,530,1,0
2024-01-01,P026,W005,759,353,512,600,456,0,0
2024-01-01,P027,W001,545,258,611,192,500,1,0
2024-01-01,P027,W002,470,322,579,213,397,1,0
2024-01-01,P027,W003,986,649,598,1037,582,0,0
2024-01-01,P027,W004,926,413,682,657,605,0,0
2024-01-01,P027,W005,687,451,739,399,502,0,0
2024-01-01,P028,W001,701,546,721,526,627,0,0
2024-01-01,P028,W002,800,138,391,547,426,0,0
2024-01-01,P028,W003,395,461,482,374,550,0,0
2024-01-01,P028,W004,907,681,689,899,613,0,0
2024-01-01,P028,W005,920,515,696,739,610,0,0
2024-01-01,P029,W001,578,163,468,273,495,0,0
2024-01-01,P029,W002,361,297,495,163,479,1,0
2024-01-01,P029,W003,402,548,511,439,464,0,0
2024-01-01,P029,W004,538,474,777,235,512,1,0
2024-01-01,P029,W005,845,178,734,289,473,0,0
2024-01-01,P030,W001,485,577,849,213,568,1,0
2024-01-01,P030,W002,663,254,652,265,412,0,0
2024-01-01,P030,W003,647,519,577,589,530,0,0
2024-01-01,P030,W004,537,600,866,271,525,1,0
2024-01-01,P030,W005,792,542,725,609,544,0,0
2024-01-01,P031,W001,292,206,211,287,344,0,0
2024-01-01,P031,W002,411,286,258,439,319,0,0
2024-01-01,P031,W003,284,284,452,116,250,1,0
2024-01-01,P031,W004,425,106,222,309,273,0,0
2024-01-01,P031,W005,252,105,263,94,268,1,0
2024-01-01,P032,W001,223,224,312,135,302,1,0
2024-01-01,P032,W002,466,264,556,174,323,1,0
2024-01-01,P032,W003,258,361,233,386,312,0,0
2024-01-01,P032,W004,257,214,326,145,363,1,0
2024-01-01,P032,W005,259,91,240,110,276,1,0
2024-01-01,P033,W001,368,207,290,285,322,0,0
2024-01-01,P033,W002,569,205,325,449,393,0,0
2024-01-01,P033,W003,413,243,231,425,263,0,0
2024-01-01,P033,W004,221,274,236,259,253,0,0
2024-01-01,P033,W005,447,263,513,197,281,0,0
2024-01-01,P034,W001,436,286,348,374,284,0,0
2024-01-01,P034,W002,435,275,410,300,244,0,0
2024-01-01,P034,W003,421,277,308,390,275,0,0
2024-01-01,P034,W004,470,389,539,320,374,0,0
2024-01-01,P034,W005,499,176,476,199,327,0,0
2024-01-01,P035,W001,213,289,210,292,255,0,0
2024-01-01,P035,W002,327,290,466,151,254,0,0
2024-01-01,P035,W003,507,279,516,270,384,0,0
2024-01-01,P035,W004,654,309,405,558,393,0,0
2024-01-01,P035,W005,539,166,400,305,289,0,0
2024-01-01,P036,W001,582,240,371,451,363,0,0
2024-01-01,P036,W002,382,198,279,301,293,0,0
2024-01-01,P036,W003,436,145,261,320,391,0,0
2024-01-01,P036,W004,458,405,360,503,352,0,0
